Qty,Designator,Footprint,Comment,LCSC Part #,Description,Value
1,JP1,RASPBERRYPI_3B_GPIO,RASPBERRYPI_3B_GPIO,,,
1,K1,FFC/FPC/34PIN/1MMPITCH/TOPLOCK,FFC/FPC/34PIN/1MMPITCH/TOPLOCK,,,FFC/FPC/34PIN/1MMPITCH/TOPLOCK
1,U$1,FRACKTALLOGO,FRACKTALLOGO,,,FRACKTALLOGO
2,"FS1, FSO",JST-XH-03-PACKAGE-LONG-PAD,JST-XH-03-PIN-LONG-PAD,,JST XH Connector 2 Pin,JST-XH-03-PIN-LONG-PAD
3,"TP1, TP2, TP3",PAD.03X.05,TEST-POINT3X5,,SparkFun Test Points,TEST-POINT3X5
